ID;Comment;Annot 3;Likes Count;Comment Timestamp;postTitle;Comment URL;Post URL;Annot 1;Annot 2;Final Annotation;Source
01JH5143P8AKQRQ6M4W0ZZEY1F;nuk e di pse me votu ata jetojn jasht vendit  ska vler vota si me votu i vdekuri;2;1;2025-01-09 07:58:05+00:00;KQZ-ja ka dhënë disa këshilla se si të votohet me postë.;https://www.facebook.com/nacionalecom/posts/pfbid02ahjVDi3MAuuJtZ3bQ26bMxwuhLx5EeP5VfS3kjYjRKE1PNivsa7M66fCHuS7dVcwl?comment_id=964350652240022;https://www.facebook.com/nacionalecom/posts/923585383290481;;;;NACIONALE
01JH541760ZQSPBETDH7FGF4TN;Po qa je kah thu eiiiijjjjj po krejt kosova ka qen në ldk po me humben jet të presidentit historik rugova dalja e ushtris qlirimtare në sken politike ldk u rrenu e prejt ktyre të gjitha partive si kan santazhu vendtn hajnit e atyre si skan qen të kyqur ne politik atëher ka lulzu lvv me prisin me te min në historin mbi 100 vjeqare albin kurti e mos dil me fol kur nuk din ta menagjosh emisjonin trullana;2;0;2025-01-09 08:48:56+00:00;"“VV-ja e sulmon LDK-në sepse shumicën e elektoratit e ka nga ajo parti” – Shala: E sheh si rrezik 

#kanal10 #adresa";https://www.facebook.com/Kanal10.live/videos/3965556597098898/?comment_id=579738551691331;https://www.facebook.com/Kanal10.live/videos/3965556597098898/;;;;KANAL_10
01JH59NMM0FGY436TZMR6VJ7J4;Ma të mëdha janë gjasat që unë të bëhem Astronaut se që ju t'i fitoni zgjedhjet.;2;8;2025-01-09 10:27:28+00:00;"""Gjasat që LDK-ja t’i fitojë zgjedhjet janë shumë të mëdha"", parashikimi i Kujtim Shalës në Debat Plus";https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/?comment_id=1115050353153174;https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/;;;;DEBAT_PLUS
01JH5A1W783S1YFX0CZZ7BAQY5;Rugova nuk ka mbajt debate edhe ne fushate kur dilke veq na pershendetke per 20 minuta e vazhdoke ne tubimet tjera  , se fitoren e dijke te sigurt qe e ka , te njejen po e bene edhe Albin Kurti por kesaj radhe na ka qit kusht per gjyserm milioni vota !!!;0;1;2025-01-09 10:34:09+00:00;Ajo e përmendi edhe ikjen nga Kuvendi e nga Prokuroria.;https://www.facebook.com/nacionalecom/posts/pfbid02LqcsdTvmb3RmeF1zo3mMxwFuZCwBB7pauXJH2M3rPzGu5X58zbW6tBh8AvGjKRwMl?comment_id=1803607713736924;https://www.facebook.com/nacionalecom/posts/pfbid0GzBASnzwjeKp2Js3o52sphK4vH8241fZNGmsKnwSH4zrMMcr7jidHArKJWX7VsWRl;;;;NACIONALE
01JH5AA0Z0PSA28QA1MZXD7GXP;Edhe Ty spot len Kurti me flejt aaaa ;0;0;2025-01-09 10:38:36+00:00;"“Mos u rrëmbeni nga urrejta”-Ahmeti ka një porosi për debatet politike ""të bojkotuara"" nga pushteti

#kanal10 #adresa";https://www.facebook.com/Kanal10.live/videos/1313850386316878/?comment_id=592706120384968;https://www.facebook.com/Kanal10.live/videos/1313850386316878/;;;;KANAL_10
01JH5ABAYRV59CDCJ9DBSNNCG0;"Dhelpra ende ish tu prit mos Po I bien dashit.
Sinqert nuk e kuptoj kete vete besim
Ldk ka vdek
Ather Kur 
Sikur sonte Mustafa tha
Nuk bejm koalicion me pdk
Dhe te nesermen I bente temena thaqit.
I KENI pshurr qershiat amkadamik

Gjuha qe Po perdor une nuk eshte ne kulturen time
Thjesht 
U mundova me pershtat me ate te juajen
Po lutem mos te me Shani nga robte.";2;1;2025-01-09 10:39:19+00:00;"""Gjasat që LDK-ja t’i fitojë zgjedhjet janë shumë të mëdha"", parashikimi i Kujtim Shalës në Debat Plus";https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/?comment_id=1605951016948959;https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/;;;;DEBAT_PLUS
01JH5CYK0RM1YX8ESWXAJMSCSB;Ky asht Akademik i K…t;2;1;2025-01-09 11:24:47+00:00;"""Gjasat që LDK-ja t’i fitojë zgjedhjet janë shumë të mëdha"", parashikimi i Kujtim Shalës në Debat Plus";https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/?comment_id=1777160919800623;https://www.facebook.com/dukagjinidebatplus/videos/900505492296819/;;;;DEBAT_PLUS
01JH5DBC6GNH0QP6MAS2EHDZ6F;Kan vjedh boll kta hajna;2;0.0;2025-01-09 11:31:46+00:00;Ajo e përmendi edhe ikjen nga Kuvendi e nga Prokuroria.;https://www.facebook.com/nacionalecom/posts/pfbid02LqcsdTvmb3RmeF1zo3mMxwFuZCwBB7pauXJH2M3rPzGu5X58zbW6tBh8AvGjKRwMl?comment_id=486537720745896;https://www.facebook.com/nacionalecom/posts/pfbid0GzBASnzwjeKp2Js3o52sphK4vH8241fZNGmsKnwSH4zrMMcr7jidHArKJWX7VsWRl;;;;NACIONALE
01JH5FBSQ8MR8NGAWN18H9KVBM;Ti xhumi stmre tu e mbajt gajlën   e Kurtit  shkove posht oj pel;2;0.0;2025-01-09 12:06:57+00:00;Ajo e përmendi edhe ikjen nga Kuvendi e nga Prokuroria.;https://www.facebook.com/nacionalecom/posts/pfbid02LqcsdTvmb3RmeF1zo3mMxwFuZCwBB7pauXJH2M3rPzGu5X58zbW6tBh8AvGjKRwMl?comment_id=568102752867242;https://www.facebook.com/nacionalecom/posts/pfbid0GzBASnzwjeKp2Js3o52sphK4vH8241fZNGmsKnwSH4zrMMcr7jidHArKJWX7VsWRl;;;;NACIONALE
01JH5H8MZRX0DDJXPNMQCS0PTS;O shpoiun i shkive ik mos e qit veshin aty se nae gerdite edhe tv.;2;0.0;2025-01-09 12:40:11+00:00;A e mbani mend kur Kurti e ftonte në debate Hashim Thaçin?;https://www.facebook.com/nacionalecom/posts/pfbid02Xo7UjZ6Dvw1X4Y38ZC6nq2wYKW6o9CqNvLPBGsPYwwRFGSYGyWDribuMUUjYThnrl?comment_id=906978054958340;https://www.facebook.com/nacionalecom/posts/pfbid02Xo7UjZ6Dvw1X4Y38ZC6nq2wYKW6o9CqNvLPBGsPYwwRFGSYGyWDribuMUUjYThnrl;;;;NACIONALE
